departure city,long. departure (decimal),lat. departure (decimal),departure country,arrival city,long. departure (decimal),lat. departure (decimal),arrival country,number of routes,distance
Phuket,98.528,8.188,Thailand,Singapore,104.657,1.583,Singapore,5,999
Libreville,9.687,0.764,Gabon,Cotonou,2.64,6.595,Benin,5,1015
Dakar,-17.151,15.232,Senegal,Bamako,-7.917,12.889,Mali,5,1029
Cotonou,2.64,6.595,Benin,Libreville,9.687,0.764,Gabon,5,1015
Bamako,-7.917,12.889,Mali,Dakar,-17.151,15.232,Senegal,5,1029
Manchester,-1.792,53.589,United Kingdom,Gran Canaria,-14.978,28.553,Spain,4,2984
Gran Canaria,-14.978,28.553,Spain,Manchester,-1.792,53.589,United Kingdom,4,2984
Moscow,38.51,55.681,Russia,Dnepropetrovsk,35.167,48.595,Ukraine,4,820
Moscow,38.51,55.681,Russia,Bangkok,101.245,14.135,Thailand,4,7018
Dnepropetrovsk,35.167,48.595,Ukraine,Moscow,38.51,55.681,Russia,4,820
Bangkok,101.245,14.135,Thailand,Moscow,38.51,55.681,Russia,4,7018
Yerevan,44.659,40.245,Armenia,Moscow,38.51,55.681,Russia,4,1774
Moscow,38.51,55.681,Russia,Yerevan,44.659,40.245,Armenia,4,1774
Bucharest,26.17,44.953,Romania,Madrid,-3.278,40.822,Spain,4,2428
Madrid,-3.278,40.822,Spain,Bucharest,26.17,44.953,Romania,4,2428
Jeddah,39.26,22.132,Saudi Arabia,Amman,36.655,32.204,Jordan,4,1149
Amman,36.655,32.204,Jordan,Jeddah,39.26,22.132,Saudi Arabia,4,1149
Vienna,16.949,48.183,Austria,Istanbul,29.357,41.628,Turkey,4,1216
Istanbul,29.357,41.628,Turkey,Vienna,16.949,48.183,Austria,4,1216
Tenerife,-16.288,28.074,Spain,NewcastleU,-1.487,55.062,United Kingdom,4,3228
NewcastleU,-1.487,55.062,United Kingdom,Tenerife,-16.288,28.074,Spain,4,3228
San Salvador,-88.427,13.734,El Salvador,Los Angeles,-118.014,34.57,United States,4,3766
Lima,-76.524,-11.37,Peru,San JoseC,-83.682,10.656,Costa Rica,4,2573
Los Angeles,-118.014,34.57,United States,San Salvador,-88.427,13.734,El Salvador,4,3766
Graz,15.732,47.651,Austria,Munich,12.31,48.589,Germany,4,274
Sverdlovsk,61.337,57.238,Russia,Osh,73.322,41.014,Kyrgyzstan,4,1996
Sverdlovsk,61.337,57.238,Russia,Bishkek,74.795,43.102,Kyrgyzstan,4,1833
Novosibirsk,83.084,55.021,Russia,Osh,73.322,41.014,Kyrgyzstan,4,1714
Osh,73.322,41.014,Kyrgyzstan,Sverdlovsk,61.337,57.238,Russia,4,1996
Osh,73.322,41.014,Kyrgyzstan,Novosibirsk,83.084,55.021,Russia,4,1714
Osh,73.322,41.014,Kyrgyzstan,Samara,50.25,53.833,Russia,4,2228
Samara,50.25,53.833,Russia,Osh,73.322,41.014,Kyrgyzstan,4,2228
Bishkek,74.795,43.102,Kyrgyzstan,Sverdlovsk,61.337,57.238,Russia,4,1833
Sydney,151.295,-33.911,Australia,Seoul,126.75,37.781,South Korea,4,8365
Seoul,126.75,37.781,South Korea,Sydney,151.295,-33.911,Australia,4,8365
Amsterdam,5.273,52.514,Netherlands,Brussels,4.807,51.502,Belgium,4,116
Melbourne,145.405,-37.456,Australia,Bangkok,101.245,14.135,Thailand,4,7359
Bangkok,101.245,14.135,Thailand,Melbourne,145.405,-37.456,Australia,4,7359
Seoul,126.75,37.781,South Korea,Shizuoka,138.315,35.326,Japan,4,1067
Seoul,126.75,37.781,South Korea,Sapporo,142.153,43.292,Japan,4,1435
Shizuoka,138.315,35.326,Japan,Seoul,126.75,37.781,South Korea,4,1067
Sapporo,142.153,43.292,Japan,Seoul,126.75,37.781,South Korea,4,1435
Philadelphia,-74.736,40.453,United States,Madrid,-3.278,40.822,Spain,4,5849
Madrid,-3.278,40.822,Spain,Philadelphia,-74.736,40.453,United States,4,5849
Kuwait,48.614,29.377,Kuwait,Jeddah,39.26,22.132,Saudi Arabia,4,1234
Jeddah,39.26,22.132,Saudi Arabia,Kuwait,48.614,29.377,Kuwait,4,1234
Beirut,35.813,34.368,Lebanon,Amman,36.655,32.204,Jordan,4,253
Amman,36.655,32.204,Jordan,Beirut,35.813,34.368,Lebanon,4,253
Zurich,8.915,47.774,Switzerland,BarcelonaS,2.13,41.495,Spain,4,880
Prague,14.433,50.168,Czech Republic,BarcelonaS,2.13,41.495,Spain,4,1352
Milano,9.213,46.051,Italy,Madrid,-3.278,40.822,Spain,4,1162
Madrid,-3.278,40.822,Spain,Milano,9.213,46.051,Italy,4,1162
Madrid,-3.278,40.822,Spain,Copenhagen,13.093,56.029,Denmark,4,2066
Madrid,-3.278,40.822,Spain,Caracas,-66.985,11.005,Venezuela,4,7006
Copenhagen,13.093,56.029,Denmark,Madrid,-3.278,40.822,Spain,4,2066
Caracas,-66.985,11.005,Venezuela,Madrid,-3.278,40.822,Spain,4,7006
Brussels,4.807,51.502,Belgium,Madrid,-3.278,40.822,Spain,4,1338
Brussels,4.807,51.502,Belgium,BarcelonaS,2.13,41.495,Spain,4,1131
BarcelonaS,2.13,41.495,Spain,Zurich,8.915,47.774,Switzerland,4,880
BarcelonaS,2.13,41.495,Spain,Prague,14.433,50.168,Czech Republic,4,1352
BarcelonaS,2.13,41.495,Spain,Brussels,4.807,51.502,Belgium,4,1131
Istanbul,29.357,41.628,Turkey,Amsterdam,5.273,52.514,Netherlands,4,2172
Amsterdam,5.273,52.514,Netherlands,Istanbul,29.357,41.628,Turkey,4,2172
Salzburg,13.007,48.322,Austria,Moscow,38.51,55.681,Russia,4,1913
Innsbruck,11.573,47.433,Austria,Moscow,38.51,55.681,Russia,4,2058
Moscow,38.51,55.681,Russia,Salzburg,13.007,48.322,Austria,4,1913
Moscow,38.51,55.681,Russia,Innsbruck,11.573,47.433,Austria,4,2058
Singapore,104.657,1.583,Singapore,Medan,99.119,3.93,Indonesia,4,668
Singapore,104.657,1.583,Singapore,Bandung,107.96,-6.835,Indonesia,4,1005
Medan,99.119,3.93,Indonesia,Singapore,104.657,1.583,Singapore,4,668
Frankfurt,8.905,50.044,Germany,Amsterdam,5.273,52.514,Netherlands,4,373
Bandung,107.96,-6.835,Indonesia,Singapore,104.657,1.583,Singapore,4,1005
Amsterdam,5.273,52.514,Netherlands,Frankfurt,8.905,50.044,Germany,4,373
Kiev,31.491,50.575,Ukraine,Dubai,55.607,25.421,United Arab Emirates,4,3472
Dubai,55.607,25.421,United Arab Emirates,Kiev,31.491,50.575,Ukraine,4,3472
Osh,73.322,41.014,Kyrgyzstan,St. Petersburg,30.437,60.333,Russia,4,3608
St. Petersburg,30.437,60.333,Russia,Osh,73.322,41.014,Kyrgyzstan,4,3608
Tenerife,-16.288,28.074,Spain,Birmingham,-1.581,52.756,United Kingdom,4,3000
London,-0.103,51.795,United Kingdom,Palma de Mallorca,3.212,39.922,Spain,4,1344
Palma de Mallorca,3.212,39.922,Spain,London,-0.103,51.795,United Kingdom,4,1344
Porto,-8.469,41.413,Portugal,BarcelonaS,2.13,41.495,Spain,4,882
Manchester,-1.792,53.589,United Kingdom,Malaga,-4.166,37.124,Spain,4,1839
East Midlands,-0.881,53.385,United Kingdom,Las Palmas,-13.343,29.575,Spain,4,2834
Bristol,-2.532,51.637,United Kingdom,Tenerife,-16.288,28.074,Spain,4,2860
Birmingham,-1.581,52.756,United Kingdom,Tenerife,-16.288,28.074,Spain,4,3000
Birmingham,-1.581,52.756,United Kingdom,Las Palmas,-13.343,29.575,Spain,4,2751
BarcelonaS,2.13,41.495,Spain,Porto,-8.469,41.413,Portugal,4,882
Las Palmas,-13.343,29.575,Spain,East Midlands,-0.881,53.385,United Kingdom,4,2834
Las Palmas,-13.343,29.575,Spain,Birmingham,-1.581,52.756,United Kingdom,4,2751
Shanghai,122.342,31.238,China,Busan,129.563,35.299,South Korea,4,808
Busan,129.563,35.299,South Korea,Shanghai,122.342,31.238,China,4,808
Singapore,104.657,1.583,Singapore,Abu Dhabi,55.085,24.721,United Arab Emirates,4,5904
Brussels,4.807,51.502,Belgium,Abu Dhabi,55.085,24.721,United Arab Emirates,4,5167
Abu Dhabi,55.085,24.721,United Arab Emirates,Singapore,104.657,1.583,Singapore,4,5904
Abu Dhabi,55.085,24.721,United Arab Emirates,Brussels,4.807,51.502,Belgium,4,5167
Abu Dhabi,55.085,24.721,United Arab Emirates,Amman,36.655,32.204,Jordan,4,1980
Nairobi,37.545,-0.866,Kenya,Addis Ababa,39.332,9.629,Ethiopia,4,1183
Addis Ababa,39.332,9.629,Ethiopia,Nairobi,37.545,-0.866,Kenya,4,1183
Riyadh,47.164,25.596,Saudi Arabia,Dubai,55.607,25.421,United Arab Emirates,4,847
Dubai,55.607,25.421,United Arab Emirates,Riyadh,47.164,25.596,Saudi Arabia,4,847
Dubai,55.607,25.421,United Arab Emirates,Doha,51.941,25.435,Qatar,4,368
Dubai,55.607,25.421,United Arab Emirates,Dammam,50.329,26.785,Saudi Arabia,4,548
Dubai,55.607,25.421,United Arab Emirates,Moscow,38.51,55.681,Russia,4,3639
Dubai,55.607,25.421,United Arab Emirates,Amman,36.655,32.204,Jordan,4,1990
Dammam,50.329,26.785,Saudi Arabia,Dubai,55.607,25.421,United Arab Emirates,4,548
Moscow,38.51,55.681,Russia,Dubai,55.607,25.421,United Arab Emirates,4,3639
Cork,-8.152,52.402,Ireland,London,-0.103,51.795,United Kingdom,4,553
London,-0.103,51.795,United Kingdom,Cork,-8.152,52.402,Ireland,4,553
Santo Domingo,-69.449,18.716,Dominican Republic,Madrid,-3.278,40.822,Spain,4,6676
Madrid,-3.278,40.822,Spain,Santo Domingo,-69.449,18.716,Dominican Republic,4,6676
Riyadh,47.164,25.596,Saudi Arabia,Alexandria,30.16,31.529,Egypt,4,1784
Kuwait,48.614,29.377,Kuwait,Sohag,32.238,26.568,Egypt,4,1636
Kuwait,48.614,29.377,Kuwait,Alexandria,30.16,31.529,Egypt,4,1782
Sohag,32.238,26.568,Egypt,Kuwait,48.614,29.377,Kuwait,4,1636
Alexandria,30.16,31.529,Egypt,Riyadh,47.164,25.596,Saudi Arabia,4,1784
Alexandria,30.16,31.529,Egypt,Kuwait,48.614,29.377,Kuwait,4,1782
Munich,12.31,48.589,Germany,Stockholm,18.531,60.086,Sweden,4,1339
Geneva,6.181,46.396,Switzerland,Copenhagen,13.093,56.029,Denmark,4,1172
Rome,12.417,42.34,Italy,Stockholm,18.531,60.086,Sweden,4,2016
Copenhagen,13.093,56.029,Denmark,Geneva,6.181,46.396,Switzerland,4,1172
Stockholm,18.531,60.086,Sweden,Munich,12.31,48.589,Germany,4,1339
Stockholm,18.531,60.086,Sweden,Rome,12.417,42.34,Italy,4,2016
Harare,31.154,-17.887,Zimbabwe,Lusaka,28.754,-14.885,Zambia,4,420
Bamako,-7.917,12.889,Mali,Abidjan,-3.878,5.435,Cote d'Ivoire,4,939
Abidjan,-3.878,5.435,Cote d'Ivoire,Bamako,-7.917,12.889,Mali,4,939
Chicago,-87.842,42.631,United States,Seoul,126.75,37.781,South Korea,4,10414
Tokyo,140.643,36.274,Japan,Manila,121.032,14.847,Philippines,4,3076
Montevideo,-55.385,-34.731,Uruguay,Porto Alegre,-50.62,-29.991,Brazil,4,691
Manila,121.032,14.847,Philippines,Tokyo,140.643,36.274,Japan,4,3076
Seoul,126.75,37.781,South Korea,Chicago,-87.842,42.631,United States,4,10414
Seoul,126.75,37.781,South Korea,Honolulu,-157.871,21.531,United States,4,7313
Honolulu,-157.871,21.531,United States,Seoul,126.75,37.781,South Korea,4,7313
Queenstown International,169.231,-44.369,New Zealand,Sydney,151.295,-33.911,Australia,4,1928
Wellington,175.342,-40.879,New Zealand,Melbourne,145.405,-37.456,Australia,4,2595
Sydney,151.295,-33.911,Australia,Queenstown International,169.231,-44.369,New Zealand,4,1928
Sydney,151.295,-33.911,Australia,Nandi,177.738,-17.593,Fiji,4,3193
Nandi,177.738,-17.593,Fiji,Sydney,151.295,-33.911,Australia,4,3193
Melbourne,145.405,-37.456,Australia,Denpasar,115.278,-8.581,Indonesia,4,4412
Christchurch,172.887,-43.149,New Zealand,Melbourne,145.405,-37.456,Australia,4,2402
Kuala Lumpur,102.183,3.242,Malaysia,Tokyo,140.643,36.274,Japan,4,5383
Tokyo,140.643,36.274,Japan,Kuala Lumpur,102.183,3.242,Malaysia,4,5383
Shanghai,122.342,31.238,China,Kuala Lumpur,102.183,3.242,Malaysia,4,3761
Kuala Lumpur,102.183,3.242,Malaysia,Shanghai,122.342,31.238,China,4,3761
Seoul,126.75,37.781,South Korea,Changcha,113.366,28.315,China,4,1629
Changcha,113.366,28.315,China,Seoul,126.75,37.781,South Korea,4,1629
Xiamen,118.212,24.906,China,Hong Kong,114.524,22.514,Hong Kong,4,460
Sanya,109.687,18.504,China,Hong Kong,114.524,22.514,Hong Kong,4,672
Singapore,104.657,1.583,Singapore,Colombo,80.473,7.301,Sri Lanka,4,2754
Nanjing,119.436,32.236,China,Hong Kong,114.524,22.514,Hong Kong,4,1184
Ninbo,121.769,30.377,China,Hong Kong,114.524,22.514,Hong Kong,4,1132
Hong Kong,114.524,22.514,Hong Kong,Xiamen,118.212,24.906,China,4,460
Hong Kong,114.524,22.514,Hong Kong,Sanya,109.687,18.504,China,4,672
Hong Kong,114.524,22.514,Hong Kong,Nanjing,119.436,32.236,China,4,1184
Hong Kong,114.524,22.514,Hong Kong,Ninbo,121.769,30.377,China,4,1132
Colombo,80.473,7.301,Sri Lanka,Singapore,104.657,1.583,Singapore,4,2754
Zurich,8.915,47.774,Switzerland,Washington,-77.094,39.574,United States,4,6614
Tselinograd,71.778,51.037,Kazakhstan,Frankfurt,8.905,50.044,Germany,4,4306
Sydney,151.295,-33.911,Australia,San Francisco,-121.959,38.031,United States,4,11992
San Francisco,-121.959,38.031,United States,Sydney,151.295,-33.911,Australia,4,11992
San Francisco,-121.959,38.031,United States,Osaka,135.406,34.724,Japan,4,8663
San Francisco,-121.959,38.031,United States,Frankfurt,8.905,50.044,Germany,4,9104
San Francisco,-121.959,38.031,United States,Cancun,-86.796,21.06,Mexico,4,3856
San Salvador,-88.427,13.734,El Salvador,Houston,-94.903,30.64,United States,4,1993
Chicago,-87.842,42.631,United States,Sao Paulo,-46.116,-23.054,Brazil,4,8463
Tokyo,140.643,36.274,Japan,Washington,-77.094,39.574,United States,4,10738
Nagoya,137.342,35.43,Japan,Agana,145.326,13.805,Guam,4,2533
Madrid,-3.278,40.822,Spain,Newark,-73.615,41.154,United States,4,5731
Lisbon,-8.56,39.302,Portugal,Newark,-73.615,41.154,United States,4,5393
Los Angeles,-118.014,34.57,United States,Cancun,-86.796,21.06,Mexico,4,3398
Osaka,135.406,34.724,Japan,San Francisco,-121.959,38.031,United States,4,8663
Houston,-94.903,30.64,United States,San Salvador,-88.427,13.734,El Salvador,4,1993
Washington,-77.094,39.574,United States,Zurich,8.915,47.774,Switzerland,4,6614
Washington,-77.094,39.574,United States,Tokyo,140.643,36.274,Japan,4,10738
Washington,-77.094,39.574,United States,Sao Paulo,-46.116,-23.054,Brazil,4,7670
Baku,50.077,40.779,Azerbaijan,Frankfurt,8.905,50.044,Germany,4,3327
Agana,145.326,13.805,Guam,Nagoya,137.342,35.43,Japan,4,2533
Sao Paulo,-46.116,-23.054,Brazil,Chicago,-87.842,42.631,United States,4,8463
Sao Paulo,-46.116,-23.054,Brazil,Washington,-77.094,39.574,United States,4,7670
Frankfurt,8.905,50.044,Germany,Tselinograd,71.778,51.037,Kazakhstan,4,4306
Frankfurt,8.905,50.044,Germany,San Francisco,-121.959,38.031,United States,4,9104
Frankfurt,8.905,50.044,Germany,Baku,50.077,40.779,Azerbaijan,4,3327
Frankfurt,8.905,50.044,Germany,Doha,51.941,25.435,Qatar,4,4574
Frankfurt,8.905,50.044,Germany,Abuja,7.438,9.011,Nigeria,4,4564
Newark,-73.615,41.154,United States,Madrid,-3.278,40.822,Spain,4,5731
Newark,-73.615,41.154,United States,Lisbon,-8.56,39.302,Portugal,4,5393
Newark,-73.615,41.154,United States,Copenhagen,13.093,56.029,Denmark,4,6144
Newark,-73.615,41.154,United States,BarcelonaS,2.13,41.495,Spain,4,6105
Cancun,-86.796,21.06,Mexico,Los Angeles,-118.014,34.57,United States,4,3398
Copenhagen,13.093,56.029,Denmark,Newark,-73.615,41.154,United States,4,6144
Brussels,4.807,51.502,Belgium,Bamako,-7.917,12.889,Mali,4,4443
Brussels,4.807,51.502,Belgium,Accra,0.388,6.008,Ghana,4,5075
Bamako,-7.917,12.889,Mali,Brussels,4.807,51.502,Belgium,4,4443
BarcelonaS,2.13,41.495,Spain,Newark,-73.615,41.154,United States,4,6105
Abuja,7.438,9.011,Nigeria,Frankfurt,8.905,50.044,Germany,4,4564
Panama City,-78.973,9.118,Panama,Orlando,-80.849,28.715,United States,4,2187
Panama City,-78.973,9.118,Panama,Houston,-94.903,30.64,United States,4,2907
Orlando,-80.849,28.715,United States,Panama City,-78.973,9.118,Panama,4,2187
Houston,-94.903,30.64,United States,Panama City,-78.973,9.118,Panama,4,2907
Wuxi,120.715,31.824,China,Taipei,121.388,25.129,Taiwan,4,747
Wuhan,114.346,31.306,China,Taipei,121.388,25.129,Taiwan,4,973
Taipei,121.388,25.129,Taiwan,Wuxi,120.715,31.824,China,4,747
Taipei,121.388,25.129,Taiwan,Wuhan,114.346,31.306,China,4,973
Port Moresby,147.366,-9.073,Papua New Guinea,Brisbane,153.195,-26.974,Australia,4,2082
Brisbane,153.195,-26.974,Australia,Port Moresby,147.366,-9.073,Papua New Guinea,4,2082
Yanji,129.752,43.471,China,Seoul,126.75,37.781,South Korea,4,681
Xiamen,118.212,24.906,China,Singapore,104.657,1.583,Singapore,4,2973
Wuhan,114.346,31.306,China,Hong Kong,114.524,22.514,Hong Kong,4,977
Weihai,122.381,37.311,China,Seoul,126.75,37.781,South Korea,4,388
Jinan,117.359,37.428,China,Seoul,126.75,37.781,South Korea,4,827
Qingdao,120.624,36.443,China,Osaka,135.406,34.724,Japan,4,1348
Sydney,151.295,-33.911,Australia,Shanghai,122.342,31.238,China,4,7854
Moscow,38.51,55.681,Russia,Beijing,116.974,40.133,China,4,5758
Singapore,104.657,1.583,Singapore,Xiamen,118.212,24.906,China,4,2973
Singapore,104.657,1.583,Singapore,Beijing,116.974,40.133,China,4,4463
Shenyang,123.483,41.637,China,Tokyo,140.643,36.274,Japan,4,1595
San Francisco,-121.959,38.031,United States,Shanghai,122.342,31.238,China,4,9832
San Francisco,-121.959,38.031,United States,Beijing,116.974,40.133,China,4,9456
Shanghai,122.342,31.238,China,Sydney,151.295,-33.911,Australia,4,7854
Shanghai,122.342,31.238,China,San Francisco,-121.959,38.031,United States,4,9832
Shanghai,122.342,31.238,China,Fukuoka,130.751,33.976,Japan,4,844
Busan,129.563,35.299,South Korea,Beijing,116.974,40.133,China,4,1229
Beijing,116.974,40.133,China,Moscow,38.51,55.681,Russia,4,5758
Beijing,116.974,40.133,China,Singapore,104.657,1.583,Singapore,4,4463
Beijing,116.974,40.133,China,San Francisco,-121.959,38.031,United States,4,9456
Beijing,116.974,40.133,China,Busan,129.563,35.299,South Korea,4,1229
Beijing,116.974,40.133,China,Kuala Lumpur,102.183,3.242,Malaysia,4,4363
Beijing,116.974,40.133,China,Washington,-77.094,39.574,United States,4,11037
Beijing,116.974,40.133,China,Bangkok,101.245,14.135,Thailand,4,3271
Tokyo,140.643,36.274,Japan,Shenyang,123.483,41.637,China,4,1595
Madrid,-3.278,40.822,Spain,Sao Paulo,-46.116,-23.054,Brazil,4,8367
Kuala Lumpur,102.183,3.242,Malaysia,Beijing,116.974,40.133,China,4,4363
Osaka,135.406,34.724,Japan,Qingdao,120.624,36.443,China,4,1348
Seoul,126.75,37.781,South Korea,Yanji,129.752,43.471,China,4,681
Seoul,126.75,37.781,South Korea,Weihai,122.381,37.311,China,4,388
Seoul,126.75,37.781,South Korea,Jinan,117.359,37.428,China,4,827
Seoul,126.75,37.781,South Korea,Dalian,121.897,39.609,China,4,467
Washington,-77.094,39.574,United States,Beijing,116.974,40.133,China,4,11037
Hong Kong,114.524,22.514,Hong Kong,Wuhan,114.346,31.306,China,4,977
Sao Paulo,-46.116,-23.054,Brazil,Madrid,-3.278,40.822,Spain,4,8367
Fukuoka,130.751,33.976,Japan,Shanghai,122.342,31.238,China,4,844
Dalian,121.897,39.609,China,Seoul,126.75,37.781,South Korea,4,467
Bangkok,101.245,14.135,Thailand,Beijing,116.974,40.133,China,4,3271
Malabo,9.181,4.258,Equatorial Guinea,Douala,10.199,4.01,Cameroon,4,116
Douala,10.199,4.01,Cameroon,Malabo,9.181,4.258,Equatorial Guinea,4,116
Busan,129.563,35.299,South Korea,Fukuoka,130.751,33.976,Japan,4,182
Fukuoka,130.751,33.976,Japan,Busan,129.563,35.299,South Korea,4,182
Riga,24.618,57.539,Latvia,Moscow,38.51,55.681,Russia,4,873
Riga,24.618,57.539,Latvia,Stockholm,18.531,60.086,Sweden,4,450
Moscow,38.51,55.681,Russia,Riga,24.618,57.539,Latvia,4,873
Stockholm,18.531,60.086,Sweden,Riga,24.618,57.539,Latvia,4,450
Taipei,121.388,25.129,Taiwan,Beijing,116.974,40.133,China,4,1718
Taipei,121.388,25.129,Taiwan,Kuala Lumpur,102.183,3.242,Malaysia,4,3185
Taipei,121.388,25.129,Taiwan,Hangzhou,120.724,30.382,China,4,587
Taipei,121.388,25.129,Taiwan,Haikou,110.764,20.558,China,4,1200
Taipei,121.388,25.129,Taiwan,Guangzhou,113.497,23.654,China,4,815
Taipei,121.388,25.129,Taiwan,Bangkok,101.245,14.135,Thailand,4,2433
Beijing,116.974,40.133,China,Taipei,121.388,25.129,Taiwan,4,1718
Kuala Lumpur,102.183,3.242,Malaysia,Taipei,121.388,25.129,Taiwan,4,3185
Hangzhou,120.724,30.382,China,Taipei,121.388,25.129,Taiwan,4,587
Haikou,110.764,20.558,China,Taipei,121.388,25.129,Taiwan,4,1200
Guangzhou,113.497,23.654,China,Taipei,121.388,25.129,Taiwan,4,815
Bangkok,101.245,14.135,Thailand,Taipei,121.388,25.129,Taiwan,4,2433
Riyadh,47.164,25.596,Saudi Arabia,Bahrain,51.056,26.451,Bahrain,4,400
Bahrain,51.056,26.451,Bahrain,Riyadh,47.164,25.596,Saudi Arabia,4,400
Muscat,58.474,23.988,Oman,Karachi,67.267,25.51,Pakistan,4,903
Karachi,67.267,25.51,Pakistan,Muscat,58.474,23.988,Oman,4,903
Doha,51.941,25.435,Qatar,Dubai,55.607,25.421,United Arab Emirates,4,368
Stavanger,6.063,59.461,Norway,London,-0.103,51.795,United Kingdom,4,935
Malta,14.795,36.429,Malta,Manchester,-1.792,53.589,United Kingdom,4,2298
Mombasa,39.99,-3.392,Kenya,Addis Ababa,39.332,9.629,Ethiopia,4,1449
Manchester,-1.792,53.589,United Kingdom,Malta,14.795,36.429,Malta,4,2298
Manchester,-1.792,53.589,United Kingdom,Newark,-73.615,41.154,United States,4,5338
Manchester,-1.792,53.589,United Kingdom,Copenhagen,13.093,56.029,Denmark,4,989
Manchester,-1.792,53.589,United Kingdom,Abu Dhabi,55.085,24.721,United Arab Emirates,4,5655
Luxor,33.177,26.118,Egypt,London,-0.103,51.795,United Kingdom,4,3990
London,-0.103,51.795,United Kingdom,Stavanger,6.063,59.461,Norway,4,935
London,-0.103,51.795,United Kingdom,Luxor,33.177,26.118,Egypt,4,3990
London,-0.103,51.795,United Kingdom,Bergen,5.363,60.488,Norway,4,1023
Glasgow,-4.056,56.453,United Kingdom,Newark,-73.615,41.154,United States,4,5122
Newark,-73.615,41.154,United States,Manchester,-1.792,53.589,United Kingdom,4,5338
Newark,-73.615,41.154,United States,Glasgow,-4.056,56.453,United Kingdom,4,5122
Newark,-73.615,41.154,United States,Edinburgh,-2.955,56.583,United Kingdom,4,5185
Newark,-73.615,41.154,United States,Birmingham,-1.581,52.756,United Kingdom,4,5377
Edinburgh,-2.955,56.583,United Kingdom,Newark,-73.615,41.154,United States,4,5185
Copenhagen,13.093,56.029,Denmark,Manchester,-1.792,53.589,United Kingdom,4,989
Birmingham,-1.581,52.756,United Kingdom,Newark,-73.615,41.154,United States,4,5377
Bergen,5.363,60.488,Norway,London,-0.103,51.795,United Kingdom,4,1023
Abu Dhabi,55.085,24.721,United Arab Emirates,Manchester,-1.792,53.589,United Kingdom,4,5655
Tel-aviv,35.477,32.018,Israel,London,-0.103,51.795,United Kingdom,4,3617
Singapore,104.657,1.583,Singapore,Adelaide,138.884,-34.909,Australia,4,5398
Marrakech,-7.394,32.011,Morocco,London,-0.103,51.795,United Kingdom,4,2278
Shanghai,122.342,31.238,China,London,-0.103,51.795,United Kingdom,4,9216
Prague,14.433,50.168,Czech Republic,London,-0.103,51.795,United Kingdom,4,1031
Oslo,11.167,60.323,Norway,London,-0.103,51.795,United Kingdom,4,1175
Maputo,32.954,-25.869,Mozambique,Johannesburg,28.41,-25.566,South Africa,4,456
Manchester,-1.792,53.589,United Kingdom,Madrid,-3.278,40.822,Spain,4,1423
Manchester,-1.792,53.589,United Kingdom,Duesseldorf,7.277,51.482,Germany,4,656
Madrid,-3.278,40.822,Spain,Manchester,-1.792,53.589,United Kingdom,4,1423
London,-0.103,51.795,United Kingdom,Tel-aviv,35.477,32.018,Israel,4,3617
London,-0.103,51.795,United Kingdom,Shanghai,122.342,31.238,China,4,9216
London,-0.103,51.795,United Kingdom,Prague,14.433,50.168,Czech Republic,4,1031
London,-0.103,51.795,United Kingdom,Oslo,11.167,60.323,Norway,4,1175
London,-0.103,51.795,United Kingdom,Johannesburg,28.41,-25.566,South Africa,4,9040
London,-0.103,51.795,United Kingdom,Cape Town,19.002,-33.942,South Africa,4,9713
London,-0.103,51.795,United Kingdom,Amman,36.655,32.204,Jordan,4,3676
London,-0.103,51.795,United Kingdom,Marrakech,-7.394,32.011,Morocco,4,2278
London,-0.103,51.795,United Kingdom,Isle Of Man,-4.374,54.138,Isle of Man,4,386
London,-0.103,51.795,United Kingdom,Cancun,-86.796,21.06,Mexico,4,7961
Johannesburg,28.41,-25.566,South Africa,London,-0.103,51.795,United Kingdom,4,9040
Isle Of Man,-4.374,54.138,Isle of Man,London,-0.103,51.795,United Kingdom,4,386
Johannesburg,28.41,-25.566,South Africa,Maputo,32.954,-25.869,Mozambique,4,456
Duesseldorf,7.277,51.482,Germany,Manchester,-1.792,53.589,United Kingdom,4,656
Duesseldorf,7.277,51.482,Germany,Birmingham,-1.581,52.756,United Kingdom,4,620
Cape Town,19.002,-33.942,South Africa,London,-0.103,51.795,United Kingdom,4,9713
Birmingham,-1.581,52.756,United Kingdom,Duesseldorf,7.277,51.482,Germany,4,620
Amman,36.655,32.204,Jordan,London,-0.103,51.795,United Kingdom,4,3676
Adelaide,138.884,-34.909,Australia,Singapore,104.657,1.583,Singapore,4,5398
Xi'an,109.252,34.745,China,Taipei,121.388,25.129,Taiwan,4,1582
Taipei,121.388,25.129,Taiwan,Xi'an,109.252,34.745,China,4,1582
Taipei,121.388,25.129,Taiwan,Qingdao,120.624,36.443,China,4,1260
Taipei,121.388,25.129,Taiwan,Shenzhen,114.351,23.065,China,4,750
Taipei,121.388,25.129,Taiwan,Fuzhou,120.105,26.558,China,4,204
Taipei,121.388,25.129,Taiwan,Dalian,121.897,39.609,China,4,1610
Qingdao,120.624,36.443,China,Taipei,121.388,25.129,Taiwan,4,1260
Shenzhen,114.351,23.065,China,Taipei,121.388,25.129,Taiwan,4,750
Ho Chi Minh City,107.086,11.364,Vietnam,Kaohsiung,120.583,22.961,Taiwan,4,1925
Kaohsiung,120.583,22.961,Taiwan,Ho Chi Minh City,107.086,11.364,Vietnam,4,1925
