departure city,arrival city,number of routes,distance
Houston,London,7,7688
Tokyo,San Francisco,7,8181
Guadalajara,Los Angeles,7,2127
Frankfurt,Dallas-fort Worth,7,8188
Dallas-fort Worth,Frankfurt,7,8188
Atlanta,London,7,6714
Kathmandu,Delhi,7,827
Delhi,Kathmandu,7,827
Nairobi,Dar Es Salaam,7,688
Moscow,Berlin,7,1642
Berlin,Moscow,7,1642
Jeddah,Dubai,7,1701
Dubai,Jeddah,7,1701
Taipei,Singapore,7,3174
Singapore,Taipei,7,3174
Singapore,Manila,7,2325
Manila,Singapore,7,2325
Ouagadougou,Niamey,7,401
Niamey,Ouagadougou,7,401
Douala,Cotonou,7,884
Cotonou,Douala,7,884
Seoul,Fukuoka,6,555
Fukuoka,Seoul,6,555
Lisbon,BarcelonaS,6,936
BarcelonaS,Lisbon,6,936
Vienna,Moscow,6,1687
Moscow,Vienna,6,1687
Manchester,Alicante,6,1685
Alicante,Manchester,6,1685
Kuwait,Dubai,6,818
Dubai,Kuwait,6,818
Colombo,Male,6,800
Wellington,Sydney,6,2252
Chicago,Amsterdam,6,6574
Freeport,Fort Lauderdale,6,141
Freetown,Banjul,6,649
Fort Lauderdale,Freeport,6,141
Banjul,Freetown,6,649
Amsterdam,Chicago,6,6574
Accra,Lome,6,118
Surabaya,Singapore,6,1351
Singapore,Surabaya,6,1351
Los Angeles,Guatemala City,6,3531
Guatemala City,Los Angeles,6,3531
Brisbane,Auckland,6,2331
Shanghai,Nagoya,6,1467
Beijing,Hong Kong,6,1972
Tokyo,Guangzhou,6,2952
Nagoya,Shanghai,6,1467
Hong Kong,Beijing,6,1972
Guangzhou,Tokyo,6,2952
Taipei,Seoul,6,1495
Seoul,Taipei,6,1495
Entebbe,Addis Ababa,6,1289
Addis Ababa,Entebbe,6,1289
Singapore,Melbourne,6,6031
Singapore,Frankfurt,6,10282
Melbourne,Singapore,6,6031
London,Budapest,6,1468
Frankfurt,Singapore,6,10282
Budapest,London,6,1468
Rio De Janeiro,Buenos Aires,6,2012
Buenos Aires,Rio De Janeiro,6,2012
Amsterdam,Madrid,6,1452
Lisbon,Paris,6,1413
Milan,Paris,6,612
Houston,Paris,6,8012
Washington,Paris,6,6153
Rome,Paris,6,1045
Paris,Lisbon,6,1413
Paris,Milan,6,612
Paris,Houston,6,8012
Paris,Washington,6,6153
Paris,Rome,6,1045
Paris,BarcelonaS,6,839
BarcelonaS,Paris,6,839
Monrovia,Abidjan,6,678
Ouagadougou,Brussels,6,4360
Nairobi,Brussels,6,6585
Lome,Brussels,6,5038
Entebbe,Brussels,6,6290
Douala,Brussels,6,5304
Brussels,Monrovia,6,5197
Brussels,Ouagadougou,6,4360
Brussels,Douala,6,5304
Brussels,Bujumbura,6,6482
Brussels,Banjul,6,4627
Brussels,Abidjan,6,5184
Banjul,Brussels,6,4627
Abidjan,Brussels,6,5184
Vienna,BarcelonaS,6,1381
Salzburg,London,6,1010
London,Duesseldorf,6,510
Munich,Istanbul,6,1540
London,Hamburg,6,762
London,Basel-Mulhouse-Freiburg,6,711
London,Salzburg,6,1010
Hamburg,London,6,762
Frankfurt,Vienna,6,620
Duesseldorf,London,6,510
Basel-Mulhouse-Freiburg,London,6,711
BarcelonaS,Vienna,6,1381
Montreal,London,6,5191
Taipei,San Francisco,6,10379
San Francisco,Taipei,6,10379
Chicago,Toronto,6,703
Chicago,Tokyo,6,9959
Chicago,Mexico City,6,2734
Tokyo,Chicago,6,9959
Miami,Paris,6,7322
Mexico City,Chicago,6,2734
Orlando,London,6,6927
Madrid,New York,6,5736
Lima,SantiagoC,6,2477
London,Orlando,6,6927
London,Shannon,6,612
New York,Madrid,6,5736
Paris,Miami,6,7322
Paris,New York,6,5820
Auckland,Los Angeles,6,10476
Chicago,Hong Kong,6,12416
London,Delhi,6,6675
London,Bombay,6,7223
New York,Brussels,6,5842
Hong Kong,Chicago,6,12416
Delhi,London,6,6675
Brussels,New York,6,5842
Bombay,London,6,7223
Nagoya,Seoul,6,980
Seoul,Hong Kong,6,2060
Hong Kong,Seoul,6,2060
Seoul,Nagoya,6,980
Singapore,Bombay,6,3918
Delhi,Bangkok,6,2974
Bombay,Singapore,6,3918
Bombay,Bangkok,6,3010
Bangkok,Delhi,6,2974
Bangkok,Bombay,6,3010
