departure city,arrival city,number of routes,distance
Beijing,Vladivostok,2,1321
Beijing,Sverdlovsk,2,4352
Beijing,Khabarovsk,2,1742
Novosibirsk,Yerevan,2,3256
Novosibirsk,Bangkok,2,4809
Khabarovsk,Beijing,2,1742
Hong Kong,Vladivostok,2,2859
Yerevan,Novosibirsk,2,3256
Dushanbe,Chelyabinsk,2,1929
Moscow,Ashkhabad,2,2409
Chelyabinsk,Dushanbe,2,1929
Bangkok,Novosibirsk,2,4809
Ashkhabad,Moscow,2,2409
Toronto,Ponta Delgada,2,4475
Ponta Delgada,Toronto,2,4475
Ponta Delgada,Boston,2,3782
Oslo,Lisbon,2,2708
Gran Canaria,Funchal,2,536
Lisbon,Oslo,2,2708
Lisbon,Copenhagen,2,2446
Lisbon,Stockholm,2,2980
Copenhagen,Lisbon,2,2446
Boston,Ponta Delgada,2,3782
Stockholm,Lisbon,2,2980
Tenerife,Caracas,2,5595
Tabriz,Dubai,2,1666
Dubai,Tabriz,2,1666
Moscow,Bucharest,2,1475
Bucharest,Moscow,2,1475
Bucharest,Brussels,2,1733
Brussels,Bucharest,2,1733
Bucharest,Amman,2,1682
Muscat,Amman,2,2321
Khartoum,Amman,2,1842
Kiev,Amman,2,2086
Istanbul,Amman,2,1231
Amman,Bucharest,2,1682
Amman,Madinah,2,879
Amman,Muscat,2,2321
Amman,Kiev,2,2086
Amman,Istanbul,2,1231
Moscow,Damascus,2,2449
Tunis,Damascus,2,2422
Bucharest,Damascus,2,1551
Jeddah,Aleppo,2,1586
Istanbul,Damascus,2,1101
Istanbul,Aleppo,2,910
Dammam,Damascus,2,1502
Damascus,Moscow,2,2449
Damascus,Tunis,2,2422
Damascus,Bucharest,2,1551
Damascus,Khartoum,2,2007
Damascus,Istanbul,2,1101
Damascus,Dammam,2,1502
Amman,Aleppo,2,460
Aleppo,Jeddah,2,1586
Aleppo,Istanbul,2,910
Aleppo,Amman,2,460
Kathmandu,Bangkok,2,2245
Bangkok,Kathmandu,2,2245
Namangan,Krasnodar,2,2648
Krasnodar,Namangan,2,2648
Dushanbe,Krasnodar,2,2563
Vientiane,Phnom-penh,2,794
Vientiane,Hanoi,2,467
Vientiane,Bangkok,2,533
Siem-reap,Luang Prabang,2,789
Phnom-penh,Vientiane,2,794
Luang Prabang,Siem-reap,2,789
Luang Prabang,Hanoi,2,434
Hanoi,Vientiane,2,467
Hanoi,Luang Prabang,2,434
Bangkok,Vientiane,2,533
Riyadh,Doha,2,479
Philadelphia,Manchester,2,5460
Muscat,Doha,2,679
Manchester,Philadelphia,2,5460
London,Charlotte,2,6408
Khartoum,Doha,2,2236
New York,Doha,2,10735
Jeddah,Doha,2,1340
Istanbul,Doha,2,2745
Houston,Doha,2,12850
Washington,Doha,2,11062
Doha,Riyadh,2,479
Doha,Muscat,2,679
Doha,Kathmandu,2,3343
Doha,Khartoum,2,2236
Doha,New York,2,10735
Doha,Jeddah,2,1340
Doha,Istanbul,2,2745
Doha,Houston,2,12850
Doha,Washington,2,11062
Doha,Damascus,2,1720
Doha,Colombo,2,3635
Doha,Amman,2,1666
Doha,Aleppo,2,1838
Damascus,Doha,2,1720
Colombo,Doha,2,3635
Charlotte,London,2,6408
Amman,Doha,2,1666
Sydney,Ho Chi Minh City,2,6866
Sydney,Johannesburg,2,11068
Ho Chi Minh City,Sydney,2,6866
Ho Chi Minh City,Melbourne,2,6739
Perth,Johannesburg,2,8383
Noumea,Brisbane,2,1472
Melbourne,Ho Chi Minh City,2,6739
Johannesburg,Sydney,2,11068
Johannesburg,Perth,2,8383
Brisbane,Noumea,2,1472
Sydney,Port Moresby,2,2790
Port Moresby,Sydney,2,2790
Johannesburg,Dar Es Salaam,2,2387
Dar Es Salaam,Johannesburg,2,2387
Philipsburg,Gustavia,2,53
Gustavia,Philipsburg,2,53
Tselinograd,Kiev,2,2795
Lisbon,Kiev,2,3343
Samara,Kiev,2,1324
Kiev,Tselinograd,2,2795
Kiev,Lisbon,2,3343
Kiev,Samara,2,1324
Kiev,Brussels,2,1858
Kiev,Alma-ata,2,3479
Brussels,Kiev,2,1858
Alma-ata,Kiev,2,3479
Sydney,Manila,2,6297
Manila,Sydney,2,6297
Manila,Doha,2,7234
Doha,Manila,2,7234
Riyadh,Peshawar,2,2570
Peshawar,Riyadh,2,2570
Milano,Paris,2,576
Muscat,Islamabad,2,1809
Lahore,Bangkok,2,3342
Karachi,Istanbul,2,3900
Karachi,Doha,2,1537
Karachi,Colombo,2,2462
Istanbul,Karachi,2,3900
Istanbul,Islamabad,2,3895
Islamabad,Muscat,2,1809
Islamabad,Istanbul,2,3895
Islamabad,Dammam,2,2327
Islamabad,Bangkok,2,3585
Doha,Karachi,2,1537
Dammam,Karachi,2,1695
Colombo,Karachi,2,2462
Bangkok,Lahore,2,3342
Bangkok,Islamabad,2,3585
Xiamen,Bangkok,2,2140
Luang Prabang,Bangkok,2,715
Chengdu,Bangkok,2,1902
Bangalore,Bangkok,2,2497
Bangkok,Xiamen,2,2140
Bangkok,Luang Prabang,2,715
Bangkok,Chengdu,2,1902
Bangkok,Bangalore,2,2497
Tbilisi,Istanbul,2,1343
Stuttgart,Izmir,2,1853
Skopje,Istanbul,2,613
Istanbul,Tbilisi,2,1343
Istanbul,Skopje,2,613
Istanbul,Copenhagen,2,1984
Istanbul,Brussels,2,2159
Istanbul,Stockholm,2,2182
Hatay,Nicosia,2,281
Ankara,Nicosia,2,551
Nicosia,Hatay,2,281
Nicosia,Ankara,2,551
Duesseldorf,Izmir,2,2122
Copenhagen,Istanbul,2,1984
Brussels,Istanbul,2,2159
Stockholm,Istanbul,2,2182
Izmir,Stuttgart,2,1853
Izmir,Duesseldorf,2,2122
Nairobi,Istanbul,2,4796
Khabarovsk,Seoul,2,1413
Istanbul,Nairobi,2,4796
Seoul,Khabarovsk,2,1413
Seoul,Doha,2,7032
Doha,Seoul,2,7032
Tallinn-ulemiste International,Moscow,2,896
Tallinn-ulemiste International,Kiev,2,1083
Tallinn-ulemiste International,Copenhagen,2,831
Tallinn-ulemiste International,Brussels,2,1570
Moscow,Tallinn-ulemiste International,2,896
Kiev,Tallinn-ulemiste International,2,1083
Copenhagen,Tallinn-ulemiste International,2,831
Brussels,Tallinn-ulemiste International,2,1570
Zagreb,Istanbul,2,1175
Zagreb,Copenhagen,2,1108
Zagreb,Brussels,2,1011
Zagreb,Bologna,2,390
Istanbul,Zagreb,2,1175
Copenhagen,Zagreb,2,1108
Brussels,Zagreb,2,1011
Bologna,Zagreb,2,390
Zagreb,Vienna,2,225
Vienna,Zagreb,2,225
Vienna,Timisoara,2,403
Vienna,Podgorica,2,650
Vienna,Sibiu,2,581
Vienna,Odessa,2,1077
Vienna,Lvov,2,604
Vienna,Lisbon,2,2260
Vienna,Kiev,2,1083
Vienna,Iasi,2,834
Vienna,Washington,2,7115
Vienna,Kharkov,2,1434
Vienna,Yerevan,2,2362
Vienna,Donetsk,2,1573
Vienna,Cluj-napoca,2,546
Vienna,Brussels,2,944
Vienna,Antalya,2,1664
Vienna,Altenrhein,2,523
Timisoara,Vienna,2,403
Podgorica,Vienna,2,650
Salzburg,Bucharest,2,1070
Sibiu,Vienna,2,581
Bucharest,Salzburg,2,1070
Odessa,Vienna,2,1077
Lvov,Vienna,2,604
Lisbon,Vienna,2,2260
Kiev,Vienna,2,1083
Iasi,Vienna,2,834
Washington,Vienna,2,7115
Kharkov,Vienna,2,1434
Yerevan,Vienna,2,2362
Donetsk,Vienna,2,1573
Cluj-napoca,Vienna,2,546
Brussels,Vienna,2,944
Antalya,Vienna,2,1664
Altenrhein,Vienna,2,523
Ulan Bator,Moscow,2,4573
Moscow,Ulan Bator,2,4573
Copenhagen,Bremen,2,408
Bremen,Copenhagen,2,408
Sverdlovsk,Prague,2,3118
Moscow,Prague,2,1715
Moscow,Karlovy Vary,2,1762
Prague,Sverdlovsk,2,3118
Prague,Moscow,2,1715
Prague,Odessa,2,1286
Prague,Kazan,2,2399
Prague,Samara,2,2458
Prague,Kiev,2,1207
Prague,Yerevan,2,2588
Prague,Brussels,2,691
Odessa,Prague,2,1286
Kazan,Prague,2,2399
Samara,Prague,2,2458
Karlovy Vary,Moscow,2,1762
Kiev,Prague,2,1207
Yerevan,Prague,2,2588
Brussels,Prague,2,691
Bucharest,Athens,2,723
Athens,Bucharest,2,723
Hamburg,Gdansk,2,530
Gdansk,Hamburg,2,530
Gdansk,Bremen,2,643
Bremen,Gdansk,2,643
Noumea,Auckland,2,1879
Honolulu,Auckland,2,7025
Bangkok,Auckland,2,9563
Auckland,Noumea,2,1879
Auckland,Honolulu,2,7025
Auckland,Bangkok,2,9563
Ovda,Moscow,2,2802
Tenerife,Moscow,2,5282
Gyumri,Moscow,2,1661
Moscow,Ovda,2,2802
Moscow,Tenerife,2,5282
Moscow,Gyumri,2,1661
Sialkot,Sharjah,2,1990
Sialkot,Muscat,2,1858
Sharjah,Sialkot,2,1990
Peshawar,Muscat,2,1754
Peshawar,Al Ain,2,1903
Muscat,Sialkot,2,1858
Muscat,Peshawar,2,1754
Kuwait,Lahore,2,2502
Karachi,Kuwait,2,1887
Dammam,Lahore,2,2421
Al Ain,Peshawar,2,1903
Miho,Seoul,2,630
Wuxi,Osaka,2,1401
Vienna,Tokyo,2,9095
Toyama,Seoul,2,935
Takamatsu,Seoul,2,756
Saipan,Osaka,2,2425
Singapore,Nagoya,2,5053
Singapore,Osaka,2,4869
Singapore,Fukuoka,2,4508
Sendai,Seoul,2,1294
Okinawa,Seoul,2,1279
Tokyo,Vienna,2,9095
Tokyo,Macau,2,3004
Tokyo,Istanbul,2,8891
Tokyo,Copenhagen,2,8619
Nagoya,Singapore,2,5053
Matsuyama,Seoul,2,689
Macau,Tokyo,2,3004
Macau,Osaka,2,2502
Kumamoto,Seoul,2,645
Miyazaki,Seoul,2,745
Osaka,Wuxi,2,1401
Osaka,Saipan,2,2425
Osaka,Singapore,2,4869
Osaka,Macau,2,2502
Osaka,Istanbul,2,8669
Osaka,Fuzhou,2,1719
Osaka,Doha,2,7870
Istanbul,Tokyo,2,8891
Istanbul,Osaka,2,8669
Seoul,Miho,2,630
Seoul,Toyama,2,935
Seoul,Takamatsu,2,756
Seoul,Sendai,2,1294
Seoul,Okinawa,2,1279
Seoul,Matsuyama,2,689
Seoul,Kumamoto,2,645
Seoul,Miyazaki,2,745
Seoul,Hiroshima,2,696
Hiroshima,Seoul,2,696
Fukuoka,Singapore,2,4508
Fukuoka,Cheju,2,362
Fuzhou,Osaka,2,1719
Doha,Osaka,2,7870
Copenhagen,Tokyo,2,8619
Cheju,Fukuoka,2,362
Bangkok,Nagoya,2,4307
Port-vila,Sydney,2,2504
Port-vila,Noumea,2,486
Port-vila,Auckland,2,2199
Sydney,Port-vila,2,2504
Santo,Brisbane,2,1967
Noumea,Port-vila,2,486
Melbourne,Port-vila,2,3165
Brisbane,Santo,2,1967
Auckland,Port-vila,2,2199
Sydney,Norfolk Island,2,1750
NewcastleA,Norfolk Island,2,1617
Norfolk Island,Sydney,2,1750
Norfolk Island,Melbourne,2,2375
Norfolk Island,Brisbane,2,1520
Melbourne,Norfolk Island,2,2375
Brisbane,Norfolk Island,2,1520
Vientiane,Kunming,2,779
Moscow,Shanghai,2,6817
Singapore,Shanghai,2,3785
Ho Chi Minh City,Shanghai,2,2709
Shanghai,Moscow,2,6817
Shanghai,Singapore,2,3785
Shanghai,Ho Chi Minh City,2,2709
Shanghai,Hanoi,2,1932
Nanjing,Seoul,2,907
Guilin,Seoul,2,2092
Kunming,Vientiane,2,779
Seoul,Nanjing,2,907
Seoul,Guilin,2,2092
Hanoi,Shanghai,2,1932
Vienna,Cairo,2,2358
Tunis,Cairo,2,2118
Madinah,Cairo,2,1022
Muscat,Cairo,2,2734
Johannesburg,Cairo,2,6210
New York,Cairo,2,8993
Jeddah,Cairo,2,1173
Istanbul,Alexandria,2,1125
Istanbul,Cairo,2,1287
Alexandria,Istanbul,2,1125
Doha,Cairo,2,2059
Dammam,Cairo,2,1859
Moscow,Cairo,2,2883
Damascus,Cairo,2,623
Copenhagen,Cairo,2,3220
Cairo,Vienna,2,2358
Cairo,Tunis,2,2118
Cairo,Madinah,2,1022
Cairo,Muscat,2,2734
Cairo,Johannesburg,2,6210
Cairo,New York,2,8993
Cairo,Jeddah,2,1173
Cairo,Istanbul,2,1287
Cairo,Doha,2,2059
Cairo,Dammam,2,1859
Cairo,Moscow,2,2883
Cairo,Damascus,2,623
Cairo,Copenhagen,2,3220
Cairo,Brussels,2,3237
Cairo,Athens,2,1134
Cairo,Amman,2,523
Cairo,Aleppo,2,860
Cairo,Abha,2,1747
Athens,Cairo,2,1134
Amman,Cairo,2,523
Aleppo,Cairo,2,860
Abha,Cairo,2,1747
St.-pierreR,Plaisance,2,269
Plaisance,Durban,2,2884
Plaisance,Cape Town,2,4143
Durban,Plaisance,2,2884
Cape Town,Plaisance,2,4143
Dhaka,Colombo,2,2189
Colombo,Dhaka,2,2189
Colombo,Jakarta,2,3280
Jakarta,Colombo,2,3280
Singapore,Kathmandu,2,3582
Singapore,Hyderabad,2,3349
Singapore,Davao,2,2454
Singapore,Danang,2,1660
Singapore,Changcha,2,3113
Singapore,Kochi,2,3240
Singapore,Chongqing,2,3192
Singapore,Coimbatore,2,3221
Singapore,Mataram,2,1680
Siem-reap,Singapore,2,1345
Siem-reap,Danang,2,503
Kathmandu,Singapore,2,3582
Hyderabad,Singapore,2,3349
Davao,Singapore,2,2454
Danang,Singapore,2,1660
Danang,Siem-reap,2,503
Changcha,Singapore,2,3113
Kochi,Singapore,2,3240
Chongqing,Singapore,2,3192
Coimbatore,Singapore,2,3221
Mataram,Singapore,2,1680
Singapore,Plaisance,2,5610
Plaisance,Kuala Lumpur,2,5459
Muscat,Kuala Lumpur,2,5223
Kuala Lumpur,Plaisance,2,5459
Kuala Lumpur,Muscat,2,5223
Kuala Lumpur,Karachi,2,4475
Kuala Lumpur,Johannesburg,2,8546
Kuala Lumpur,Jeddah,2,7088
Kuala Lumpur,Istanbul,2,8345
Kuala Lumpur,Doha,2,5900
Karachi,Kuala Lumpur,2,4475
Johannesburg,Kuala Lumpur,2,8546
Jeddah,Kuala Lumpur,2,7088
Istanbul,Kuala Lumpur,2,8345
Tokyo,Kota Kinabalu,2,4141
Doha,Kuala Lumpur,2,5900
Bangkok,Amman,2,6801
Kota Kinabalu,Tokyo,2,4141
Amman,Bangkok,2,6801
Xiamen,Kuala Lumpur,2,2957
Manila,Quanzhou,2,1184
Kuala Lumpur,Xiamen,2,2957
Quanzhou,Manila,2,1184
Quanzhou,Hong Kong,2,550
Hong Kong,Quanzhou,2,550
Tunis,Beirut,2,2308
Doha,Beirut,2,1841
Dammam,Beirut,2,1622
Cairo,Beirut,2,604
Brussels,Beirut,2,3123
Beirut,Tunis,2,2308
Beirut,Doha,2,1841
Beirut,Dammam,2,1622
Beirut,Cairo,2,604
Beirut,Brussels,2,3123
Antananarivo,St.-denis,2,875
Antananarivo,Plaisance,2,1095
Antananarivo,Johannesburg,2,2136
Antananarivo,Dzaoudzi,2,710
Antananarivo,Bangkok,2,6897
Toamasina,St.-denis,2,746
St.-denis,Antananarivo,2,875
St.-denis,Toamasina,2,746
Plaisance,Antananarivo,2,1095
Mahajanga,Dzaoudzi,2,330
Johannesburg,Antananarivo,2,2136
Moroni,Dzaoudzi,2,272
Dzaoudzi,Mahajanga,2,330
Bangkok,Antananarivo,2,6897
Tirgu Mures,Budapest,2,410
Moscow,Budapest,2,1576
Bucharest,Budapest,2,602
Odessa,Budapest,2,890
Kiev,Budapest,2,931
Istanbul,Budapest,2,1036
Gothenborg,Budapest,2,1242
Damascus,Budapest,2,2134
Budapest,Tirgu Mures,2,410
Budapest,Moscow,2,1576
Budapest,Bucharest,2,602
Budapest,Odessa,2,890
Budapest,Kiev,2,931
Budapest,Istanbul,2,1036
Budapest,Gothenborg,2,1242
Budapest,Damascus,2,2134
Budapest,Brussels,2,1131
Budapest,Beograd,2,275
Budapest,Amman,2,2255
Brussels,Budapest,2,1131
Amman,Budapest,2,2255
Khartoum,Juba,2,1175
Juba,Khartoum,2,1175
Oslo,Aalborg,2,355
Aalborg,Oslo,2,355
Vienna,Tel-aviv,2,2377
Tel-aviv,Vienna,2,2377
Tel-aviv,Bucharest,2,1648
Tel-aviv,Yerevan,2,1230
Tel-aviv,Budapest,2,2210
Tel-aviv,Brussels,2,3298
Tel-aviv,Bangkok,2,6912
Bucharest,Tel-aviv,2,1648
Yerevan,Tel-aviv,2,1230
Budapest,Tel-aviv,2,2210
Brussels,Tel-aviv,2,3298
Bangkok,Tel-aviv,2,6912
Zurich,Zagreb,2,571
Zurich,Tel-aviv,2,2839
Zurich,Singapore,2,10305
Zurich,Philadelphia,2,6395
Zurich,Oslo,2,1402
Zurich,Chicago,2,7081
Zurich,Porto,2,1542
Zurich,Tokyo,2,9513
Zurich,Male,2,7801
Zurich,Miami,2,7786
Zurich,Los Angeles,2,9448
Zurich,Kiev,2,1663
Zurich,Johannesburg,2,8384
Zurich,Moscow,2,2198
Zurich,Copenhagen,2,961
Zurich,Colombo,2,8033
Zurich,Cairo,2,2752
Zurich,Brussels,2,509
Zurich,Bremen,2,590
Zurich,Boston,2,5959
Zurich,Bangkok,2,9020
Zurich,Stockholm,2,1503
Zagreb,Zurich,2,571
Varadero,Cancun,2,631
Vienna,Geneva,2,835
Vienna,Basel-Mulhouse-Freiburg,2,673
Tel-aviv,Zurich,2,2839
Tel-aviv,Geneva,2,2961
Singapore,Zurich,2,10305
Philadelphia,Zurich,2,6395
Oslo,Zurich,2,1402
Chicago,Zurich,2,7081
Porto,Zurich,2,1542
Porto,Geneva,2,1295
Tokyo,Zurich,2,9513
Male,Zurich,2,7801
Miami,Zurich,2,7786
Lisbon,Geneva,2,1433
Los Angeles,Zurich,2,9448
Kiev,Zurich,2,1663
Johannesburg,Zurich,2,8384
New York,Geneva,2,6161
Istanbul,Geneva,2,1919
Geneva,Vienna,2,835
Geneva,Tel-aviv,2,2961
Geneva,Porto,2,1295
Geneva,Lisbon,2,1433
Geneva,New York,2,6161
Geneva,Istanbul,2,1919
Geneva,Moscow,2,2455
Geneva,Cairo,2,2839
Geneva,Brussels,2,576
Moscow,Zurich,2,2198
Moscow,Geneva,2,2455
Copenhagen,Zurich,2,961
Copenhagen,Basel-Mulhouse-Freiburg,2,962
Colombo,Zurich,2,8033
Cairo,Zurich,2,2752
Cairo,Geneva,2,2839
Basel-Mulhouse-Freiburg,Vienna,2,673
Basel-Mulhouse-Freiburg,Copenhagen,2,962
Basel-Mulhouse-Freiburg,Brussels,2,449
Brussels,Zurich,2,509
Brussels,Geneva,2,576
Brussels,Basel-Mulhouse-Freiburg,2,449
Bremen,Zurich,2,590
Boston,Zurich,2,5959
Bangkok,Zurich,2,9020
Stockholm,Zurich,2,1503
Tenerife,Leeds,2,3169
Salzburg,Manchester,2,1187
Manchester,Salzburg,2,1187
Leeds,Tenerife,2,3169
Leeds,Geneva,2,1043
Geneva,Leeds,2,1043
Geneva,Glasgow,2,1321
Glasgow,Geneva,2,1321
San JoseC,Charlotte,2,2760
San JoseC,Caracas,2,1823
Chicago,Liberia,2,3527
Liberia,Chicago,2,3527
Charlotte,San JoseC,2,2760
Caracas,San JoseC,2,1823
Zurich,Warsaw,2,1033
Warsaw,Zurich,2,1033
Warsaw,Vienna,2,562
Warsaw,Tel-aviv,2,2516
Warsaw,Moscow,2,1164
Warsaw,Bucharest,2,880
Warsaw,Chicago,2,7484
Warsaw,Odessa,2,923
Warsaw,Lisbon,2,2718
Warsaw,Kiev,2,710
Warsaw,New York,2,6836
Warsaw,Istanbul,2,1320
Warsaw,Geneva,2,1291
Warsaw,Newark,2,6828
Warsaw,Yerevan,2,2204
Warsaw,Donetsk,2,1266
Warsaw,Copenhagen,2,693
Warsaw,Cairo,2,2588
Warsaw,Budapest,2,529
Warsaw,Brussels,2,1153
Warsaw,Stockholm,2,888
Vienna,Warsaw,2,562
Vienna,Krakow,2,326
Tel-aviv,Warsaw,2,2516
Moscow,Warsaw,2,1164
Bucharest,Warsaw,2,880
Chicago,Warsaw,2,7484
Odessa,Warsaw,2,923
Lisbon,Warsaw,2,2718
Krakow,Vienna,2,326
Krakow,Paris,2,1257
Krakow,Brussels,2,1097
Kiev,Warsaw,2,710
New York,Warsaw,2,6836
Istanbul,Warsaw,2,1320
Geneva,Warsaw,2,1291
Newark,Warsaw,2,6828
Yerevan,Warsaw,2,2204
Donetsk,Warsaw,2,1266
Copenhagen,Warsaw,2,693
Paris,Krakow,2,1257
Cairo,Warsaw,2,2588
Budapest,Warsaw,2,529
Brussels,Warsaw,2,1153
Brussels,Krakow,2,1097
Stockholm,Warsaw,2,888
Tunis,Tripoli,2,546
Tunis,Benghazi,2,1088
Tripoli,Tunis,2,546
Tripoli,Cairo,2,1769
Tripoli,Amman,2,2187
Cairo,Tripoli,2,1769
Cairo,Benghazi,2,1089
Benghazi,Tunis,2,1088
Benghazi,Cairo,2,1089
Amman,Tripoli,2,2187
Shanghai,Cheju,2,510
Seoul,Angeles City,2,2563
Angeles City,Seoul,2,2563
Cheju,Shanghai,2,510
Philipsburg,Charlestown,2,83
Philipsburg,Roadtown/beef Island,2,196
Port-of-spain,Willemstad,2,887
Roadtown/beef Island,Philipsburg,2,196
Dominica,Philipsburg,2,299
Willemstad,Port-of-spain,2,887
Bridgetown,Antigua,2,529
Antigua,Bridgetown,2,529
Zurich,Stuttgart,2,156
Zurich,Nuernberg,2,279
Zurich,Nairobi,2,6076
Zurich,Milano,2,192
Zurich,Hannover,2,562
Zurich,Frankfurt,2,252
Zagreb,Munich,2,387
Zagreb,Frankfurt,2,681
Wroclaw,Munich,2,468
Wroclaw,Frankfurt,2,617
Wroclaw,Duesseldorf,2,708
Warsaw,Berlin,2,553
Warsaw,Munich,2,775
Warsaw,Hamburg,2,756
Warsaw,Frankfurt,2,918
Warsaw,Duesseldorf,2,986
Vienna,Leipzig,2,510
Venice,Munich,2,306
Berlin,Warsaw,2,553
Tunis,Frankfurt,2,1408
Timisoara,Munich,2,738
Tel-aviv,Frankfurt,2,2968
Toulouse,Munich,2,963
Salzburg,Frankfurt,2,354
Stavanger,Frankfurt,2,1062
Stuttgart,Zurich,2,156
Stuttgart,Graz,2,498
Stuttgart,Copenhagen,2,805
Stuttgart,Brussels,2,416
Split,Munich,2,612
Split,Frankfurt,2,892
San Francisco,Munich,2,9379
Riyadh,Munich,2,3953
Riyadh,Frankfurt,2,4246
Prague,Duesseldorf,2,523
Poznan,Munich,2,579
Poznan,Frankfurt,2,657
Pointe-noire,Libreville,2,681
Philadelphia,Munich,2,6579
Philadelphia,Frankfurt,2,6286
Oslo,Frankfurt,2,1151
Chicago,Duesseldorf,2,6752
Porto,Frankfurt,2,1648
Nuernberg,Zurich,2,279
Tokyo,Munich,2,9286
Nagoya,Frankfurt,2,9247
Nairobi,Zurich,2,6076
Milano,Zurich,2,192
Munich,Zurich,2,267
Munich,Zagreb,2,387
Munich,Wroclaw,2,468
Munich,Venice,2,306
Munich,Timisoara,2,738
Munich,Toulouse,2,963
Munich,Split,2,612
Munich,San Francisco,2,9379
Munich,Poznan,2,579
Munich,Philadelphia,2,6579
Munich,Tokyo,2,9286
Munich,Marseille,2,760
Munich,Lisbon,2,1954
Munich,Los Angeles,2,9541
Munich,Katowice,2,548
Munich,Johannesburg,2,8400
Munich,New York,2,6463
Munich,Geneva,2,520
Munich,Gothenborg,2,1058
Munich,Gdansk,2,805
Munich,Ankara,2,1925
Munich,Copenhagen,2,828
Munich,Charlotte,2,7359
Munich,Cairo,2,2620
Munich,Boston,2,6143
Munich,Bangkok,2,8756
Marseille,Munich,2,760
Linz,Frankfurt,2,433
Linz,Duesseldorf,2,609
Lisbon,Hamburg,2,2184
Lisbon,Duesseldorf,2,1826
Leipzig,Vienna,2,510
Libreville,Pointe-noire,2,681
Los Angeles,Munich,2,9541
Katowice,Munich,2,548
Katowice,Frankfurt,2,728
Katowice,Duesseldorf,2,829
Krakow,Frankfurt,2,812
Klagenfurt,Frankfurt,2,531
Osaka,Frankfurt,2,9224
Kiev,Frankfurt,2,1598
Johannesburg,Munich,2,8400
Johannesburg,Frankfurt,2,8625
New York,Munich,2,6463
Innsbruck,Frankfurt,2,350
Seoul,Frankfurt,2,8512
Hamburg,Warsaw,2,756
Hamburg,Lisbon,2,2184
Hamburg,Geneva,2,908
Hamburg,Copenhagen,2,269
Hamburg,Basel-Mulhouse-Freiburg,2,701
Hamburg,Brussels,2,484
Hamburg,Stockholm,2,821
Hannover,Zurich,2,562
Hannover,Copenhagen,2,409
Hannover,Brussels,2,390
Geneva,Munich,2,520
Geneva,Hamburg,2,908
Geneva,Duesseldorf,2,571
Graz,Stuttgart,2,498
Graz,Frankfurt,2,565
Graz,Duesseldorf,2,743
Gothenborg,Munich,2,1058
Gothenborg,Frankfurt,2,925
Gothenborg,Duesseldorf,2,807
Gdansk,Munich,2,805
Gdansk,Frankfurt,2,841
Frankfurt,Zurich,2,252
Frankfurt,Zagreb,2,681
Frankfurt,Wroclaw,2,617
Frankfurt,Warsaw,2,918
Frankfurt,Tunis,2,1408
Frankfurt,Tel-aviv,2,2968
Frankfurt,Salzburg,2,354
Frankfurt,Stavanger,2,1062
Frankfurt,Split,2,892
Frankfurt,Riyadh,2,4246
Frankfurt,Poznan,2,657
Frankfurt,Philadelphia,2,6286
Frankfurt,Oslo,2,1151
Frankfurt,Porto,2,1648
Frankfurt,Nagoya,2,9247
Frankfurt,Linz,2,433
Frankfurt,Katowice,2,728
Frankfurt,Krakow,2,812
Frankfurt,Klagenfurt,2,531
Frankfurt,Osaka,2,9224
Frankfurt,Kiev,2,1598
Frankfurt,Johannesburg,2,8625
Frankfurt,Innsbruck,2,350
Frankfurt,Seoul,2,8512
Frankfurt,Graz,2,565
Frankfurt,Gothenborg,2,925
Frankfurt,Gdansk,2,841
Frankfurt,Firenze,2,659
Frankfurt,Dubrovnik,2,1074
Frankfurt,Cape Town,2,9391
Frankfurt,Copenhagen,2,721
Frankfurt,Charlotte,2,7067
Frankfurt,Brussels,2,330
Frankfurt,Billund,2,688
Frankfurt,Bangkok,2,8972
Frankfurt,Bergen,2,1182
Frankfurt,Beirut,2,2793
Frankfurt,Stockholm,2,1270
Ankara,Munich,2,1925
Duesseldorf,Wroclaw,2,708
Duesseldorf,Warsaw,2,986
Duesseldorf,Prague,2,523
Duesseldorf,Chicago,2,6752
Duesseldorf,Linz,2,609
Duesseldorf,Lisbon,2,1826
Duesseldorf,Katowice,2,829
Duesseldorf,Geneva,2,571
Duesseldorf,Graz,2,743
Duesseldorf,Gothenborg,2,807
Duesseldorf,Basel-Mulhouse-Freiburg,2,391
Duesseldorf,Stockholm,2,1184
Dubrovnik,Frankfurt,2,1074
Cape Town,Frankfurt,2,9391
Copenhagen,Stuttgart,2,805
Copenhagen,Munich,2,828
Copenhagen,Hamburg,2,269
Copenhagen,Hannover,2,409
Copenhagen,Frankfurt,2,721
Charlotte,Munich,2,7359
Charlotte,Frankfurt,2,7067
Cairo,Munich,2,2620
Basel-Mulhouse-Freiburg,Hamburg,2,701
Basel-Mulhouse-Freiburg,Duesseldorf,2,391
Brussels,Stuttgart,2,416
Brussels,Hamburg,2,484
Brussels,Hannover,2,390
Brussels,Frankfurt,2,330
Boston,Munich,2,6143
Billund,Frankfurt,2,688
Bangkok,Munich,2,8756
Bangkok,Frankfurt,2,8972
Bergen,Frankfurt,2,1182
Beirut,Frankfurt,2,2793
Stockholm,Hamburg,2,821
Stockholm,Frankfurt,2,1270
Stockholm,Duesseldorf,2,1184
Vienna,Luxemburg,2,797
Berlin,Luxemburg,2,588
Porto,Luxemburg,2,1493
Munich,Luxemburg,2,461
